,gen-vanilla_SSRT-vanilla,gen-vanilla_SSRT-w_guesses,gen-vanilla_SSRT-w_graded,gen-guesses_SSRT-vanilla,gen-guesses_SSRT-w_guesses,gen-guesses_SSRT-w_graded,gen-graded_mu_go_log_SSRT-vanilla,gen-graded_mu_go_log_SSRT-w_guesses,gen-graded_mu_go_log_SSRT-w_graded
gen-vanilla_SSRT-vanilla,1.0,-0.985927029935647,0.987651611668653,0.9987240787191579,0.9681895596206154,0.9857531193166277,-0.45583451559792815,-0.9934426665867101,0.9924081065633742
gen-vanilla_SSRT-w_guesses,-0.985927029935647,1.0,-0.9761955628001073,-0.9921876721561395,-0.9538913871625632,-0.9727292888889846,0.40462336688687345,0.9861433356070314,-0.9833619574941457
gen-vanilla_SSRT-w_graded,0.987651611668653,-0.9761955628001073,1.0,0.9868442793146509,0.9320683358581349,0.9983664589024421,-0.39223292657809417,-0.9692013432957991,0.9968632549733069
gen-guesses_SSRT-vanilla,0.9987240787191579,-0.9921876721561395,0.9868442793146509,1.0,0.9666296031623655,0.984704398068055,-0.4430903392025524,-0.9939594031076031,0.99227035927193
gen-guesses_SSRT-w_guesses,0.9681895596206154,-0.9538913871625632,0.9320683358581349,0.9666296031623655,1.0,0.9263236990083676,-0.5538374893451767,-0.9836242468453674,0.9494645525422902
gen-guesses_SSRT-w_graded,0.9857531193166277,-0.9727292888889846,0.9983664589024421,0.984704398068055,0.9263236990083676,1.0,-0.3931373891193709,-0.965291935157616,0.9927729703082679
gen-graded_mu_go_log_SSRT-vanilla,-0.45583451559792815,0.40462336688687345,-0.39223292657809417,-0.4430903392025524,-0.5538374893451767,-0.3931373891193709,1.0,0.4829583230271541,-0.40931403701750074
gen-graded_mu_go_log_SSRT-w_guesses,-0.9934426665867101,0.9861433356070314,-0.9692013432957991,-0.9939594031076031,-0.9836242468453674,-0.965291935157616,0.4829583230271541,1.0,-0.979442789123616
gen-graded_mu_go_log_SSRT-w_graded,0.9924081065633742,-0.9833619574941457,0.9968632549733069,0.99227035927193,0.9494645525422902,0.9927729703082679,-0.40931403701750074,-0.979442789123616,1.0
