,SSD,p_guess
0,0.0,1.0
1,50.0,0.851896688151051
2,100.0,0.624808142575876
3,150.0,0.465194707313795
4,200.0,0.294771062496363
5,250.0,0.210755357985523
6,300.0,0.140420904726903
7,350.0,0.083549200176247
8,400.0,0.0570340911900793
9,450.0,0.0291510243589946
10,500.0,0.0160636189090644
11,550.0,-0.000391006858501958
12,600.0,0.00309625126559111
13,650.0,0.0113953381831485
14,700.0,0.059318925632538
15,750.0,0.0340178091093458
16,800.0,0.159442046796876
17,850.0,0.209426387589404
18,900.0,0.24241997384504
