,SSRT,mean_SSD,p_respond,max_RT,mean_go_RT,mean_stopfail_RT,omission_count,omission_rate,go_acc,stopfail_acc,SSD,SSRT_w_guesses,SSRT_w_graded
0,315.0,0.0,0.3162,2696.0,455.3585,228.80909240284657,0,0.0,,,0.0,278.57756122546556,653.0
1,304.0,50.0,0.40656,2696.0,455.3585,250.0629396625687,0,0.0,,,50.0,270.3608276608488,343.0
2,293.0,100.0,0.4920733333333333,2696.0,455.3585,271.96360218837026,0,0.0,,,100.0,266.1627269990476,410.0
3,287.0,150.0,0.5760333333333333,2696.0,455.3585,293.21199749637185,0,0.0,,,150.0,264.0,508.0
4,279.0,200.0,0.6461466666666666,2696.0,455.3585,313.98535062908576,0,0.0,,,200.0,262.0,-38.0
5,274.0,250.0,0.70854,2696.0,455.3585,332.4919382097714,0,0.0,,,250.0,262.0,150.0
6,271.0,300.0,0.7635333333333333,2696.0,455.3585,348.41691735443015,0,0.0,,,300.0,262.0,-32.0
7,267.0,350.0,0.8068333333333333,2696.0,455.3585,363.2352804730924,0,0.0,,,350.0,261.0,119.0
8,263.0,400.0,0.8430933333333334,2696.0,455.3585,376.0277931412248,0,0.0,,,400.0,260.0,167.0
9,263.0,450.0,0.87404,2696.0,455.3585,387.9934033621991,0,0.0,,,450.0,261.0,182.0
10,265.0,500.0,0.90038,2696.0,455.3585,396.79304714536613,0,0.0,,,500.0,264.0,242.0
11,268.0,550.0,0.92124,2696.0,455.3585,405.92235827073654,0,0.0,,,550.0,268.0,237.0
12,264.0,600.0,0.9363,2696.0,455.3585,413.40069711981107,0,0.0,,,600.0,264.0,232.0
13,266.0,650.0,0.94948,2696.0,455.3585,419.1039305725239,0,0.0,,,650.0,266.0,213.0
14,265.0,700.0,0.95972,2696.0,455.3585,420.63394218898566,0,0.0,,,700.0,258.0,232.0
15,274.0,750.0,0.96942,2696.0,455.3585,427.89700534955347,0,0.0,,,750.0,271.0,248.0
16,283.0,800.0,0.97626,2696.0,455.3585,424.64715654185125,0,0.0,,,800.0,263.0,156.0
17,287.0,850.0,0.9813733333333333,2696.0,455.3585,429.761177029724,0,0.0,,,850.0,271.0,259.0
18,290.0,900.0,0.9853,2696.0,455.3585,427.3487252884222,0,0.0,,,900.0,260.0,233.0
